TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48
CSDEP;CSDIR;CTCN;CTCNIA;NCCO;TYCNGR;CTCNGR;COARCL;CTADR0;NIAF;NIAFBT;VBETF2;MBBS;MOETRC;MOETRA;FILLER;MOTPCR;BN10A;MOCND1;MOCUD1;MODPD1;MOCND2;MOCUD2;MODPD2;MNTPNU;MOCNE1;MOCUE1;MODPE1;MOCNFP;BN10AA;MOCNF1;MOCUF1;MODPF1;MOCNF2;MOCUF2;MODPF2;BN10AB;MOCNTE;MOCUTE;MNTPSI;MOCNH1;MOCUH1;MODPH1;FILLER;BN10AC;MOCNG2;MOCUG2;MODPG2;MNTPOE;MOCNOE;MORGOE;BN10AE;VBETFR;FILLER;BX001A
Code departement;Numero de direction sur 1c;CODE COMMUNE DE L'AFT;ancien code cne en presence d ifp;numero de compte fichier coll CFE;type EPCI;code EPCI;type article sur 2 caracteres;code voie du lieu d'imposition;NUMERO IMMEUBLE DE L'AFT;indice repetition b/t/q cfe type 1;total vl fonc. loc. U rev. brute;base brute cfe annee n;montant rce n calcule;montant reduction artisans;;montant total des credits impots;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER eolienne (1519D)                9(8)V99;part epci IFER eolienne (1519D)                     9(8)V99;part departement IFER eolienne 1519D                9(8)V99;part communale IFER hydrolienne                     9(8)V99;part epci IFER hydrolienne                          9(8)V99;part departement IFER hydrolienne                   9(8)V99;montant IFER 1519E HFG;part communale IFER 1519E                           9(8)V99;part epci IFER 1519E                                9(8)V99;part departement IFER 1519E                         9(8)V99;part fonds de compensation 1519E                    9(8)V99;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER photovoltaique                  9(8)V99;part epci IFER photovoltaique                       9(8)V99;part departement IFER photovoltaique                9(8)V99;part communale IFER hydraulique                     9(8)V99;part epci IFER hydraulique                          9(8)V99;part departement IFER hydraulique                   9(8)V99;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER 1519G                           9(8)V99;part epci IFER 1519G                                9(8)V99;total montant stations radio;part communale IFER 1519H                           9(8)V99;part epci IFER 1519H                                9(8)V99;part departement IFER 1519H                         9(8)V99;;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER stockage gaz                    9(8)V99;part epci IFER stockage gaz                         9(8)V99;part departement IFER stockage gaz                  9(8)V99;mt IFER geothermie HFG;part cne IFER geothermie (1519HB)                   9(8)V99;part region IFER geothermie (1519HB)                9(8)V99;ZONE BANALISEE 10 CAR NUM EDITION Z9;total vl fonciere revisee n;;ZONE BANALISEE 1 CARACTERE X
1;3;4;7;10;16;17;20;22;26;30;31;42;53;64;75;159;169;179;189;199;209;219;229;239;249;259;269;279;289;299;309;319;329;339;349;359;369;379;389;399;409;419;429;449;459;469;479;489;499;509;519;529;540;1
2;3;6;9;15;16;19;21;25;29;30;41;52;63;74;158;168;178;188;198;208;218;228;238;248;258;268;278;288;298;308;318;328;338;348;358;368;378;388;398;408;418;428;448;458;468;478;488;498;508;518;528;539;949;0
2;1;3;3;6;1;3;2;4;4;1;11;11;11;11;84;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;20;10;10;10;10;10;10;10;10;11;410;1
X;X;X;X;9;X;9;X;X;X;X;9;9;9;9;X;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X;9;9;9;9;9;9;9;9;9;X;X
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;015;   ;0;L;500;A3;    ;    ; ;11220906;11220906;95015;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;4833;0;2417;2417;0;0;0;45246;0;45246;150242;0;100161;50081;                    ;279;0;140;140;0;0;0;300892;8131379;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;019;   ;0;L;500;A3;    ;    ; ;44160;44160;1252;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11537;0;7691;3846;                    ;0;0;0;0;0;0;0;4961;39047;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;026;   ;0;L;500;A3;    ;    ; ;129563;129563;1468;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14100;0;9400;4700;                    ;0;0;0;0;0;0;0;9661;62438;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;055;   ;0;L;500;A3;    ;    ; ;35075;35075;0;3802;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;1689;0;845;845;0;0;0;0;0;0;5128;0;3419;1709;                    ;10245;0;5123;5123;0;0;0;3819;34773;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;061;   ;0;L;500;A3;    ;    ; ;97124;97124;683;5311;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9828;0;6552;3276;                    ;7628;0;3814;3814;0;0;0;22326;81238;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;078;   ;0;L;500;A3;    ;    ; ;4650066;4650066;69939;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;1259;0;630;630;0;0;0;45246;0;45246;41016;0;27344;13672;                    ;0;0;0;0;0;0;0;36394;4203601;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;101;   ;0;L;500;A3;    ;    ; ;39704;39704;0;7370;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19227;0;12818;6409;                    ;0;0;0;0;0;0;0;6479;39425;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;113;   ;0;L;500;A3;    ;    ; ;3625655;3625655;21881;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;28480;0;14240;14240;0;0;0;0;0;0;39095;0;26063;13032;                    ;8989;0;4495;4495;0;0;0;42383;1620569;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;119;   ;0;L;500;A3;    ;    ; ;49807;49807;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23499;0;15666;7833;                    ;1172;0;586;586;0;0;0;11881;45419;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;120;   ;0;L;500;A3;    ;    ; ;61144;61144;297;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;19550;0;9775;9775;0;0;0;0;0;0;24353;0;16235;8118;                    ;10384;0;5192;5192;0;0;0;7817;56993;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;138;   ;0;L;500;A3;    ;    ; ;495972;495972;303;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262550;0;262550;37600;0;25067;12533;                    ;0;0;0;0;0;0;0;28430;268368;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;146;   ;0;L;500;A3;    ;    ; ;150708;150708;3377;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;1720;0;860;860;0;0;0;0;0;0;19961;0;13307;6654;                    ;2405;0;1203;1203;0;0;0;15357;96042;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;154;   ;0;L;500;A3;    ;    ; ;2182311;2182311;7215;9764;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25422;0;16948;8474;                    ;0;0;0;0;0;0;0;87557;1473527;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;166;   ;0;L;500;A3;    ;    ; ;1986063;1986063;5199;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;14318;0;7159;7159;0;0;0;0;0;0;18758;0;12505;6253;                    ;0;0;0;0;0;0;0;4455;979898;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
