TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47
CSDEP;CSDIR;CTCN;CTCNIA;NCCO;TYCNGR;CTCNGR;COARCL;CTADR0;NIAF;NIAFBT;MNBSCO;MOBSSY;MNBSGP;MNBSTS;MNBSGE;MNBSIF;MNBSCI;MNBSCM;MOCNCT;MOCNCS;MOCNCG;MOCNCE;MOCUGE;MORGIF;MNCHCI;MOCHCM;NBCHDF;CICUZ;BX001D;MCTP13;MOCNLT;MOCNLS;MOCNLG;MOCNLE;MOCULE;MORGLF;MNCHLI;MOCHLM;FILLER;BX001A
Code departement;Numero de direction sur 1c;CODE COMMUNE DE L'AFT;ancien code cne en presence d ifp;numero de compte fichier coll CFE;type EPCI;code EPCI;type article sur 2 caracteres;code voie du lieu d'imposition;NUMERO IMMEUBLE DE L'AFT;indice repetition b/t/q cfe type 1;base taxable commune n;base taxable syndicats;base taxable EPCI;base taxable tse n;base taxable tgemapi;base taxe annuelle ile de france;base taxable tcci;base taxable tcm;cotisation cfe commune;cotisation cfe syndicat;cotisation cfe epci;cotis. tse hors TGEMAPI et TASARIF;cotisation TGEMAPI;cotisation TASARIF;cotisation tcci;cotisation droit additionnel TCMA;nb cotisation tcma droit fixe;code EPCI avec zone (zae ou zde);ZONE BANALISEE 1 CARACTERE X;frais assiette commune et epci;cotisation cfe commune lissee;cotisation cfe syndicat lissee;cotisation cfe epci lissee;cot. tse hors TGEMAPI,TASARIF lissee;cotisation TGEMAPI lissee;cotisation TASARIF lissee;cotisation tcci lissee;cotis. droit additionnel TCMA lissee;;ZONE BANALISEE 1 CARACTERE X
1;3;4;7;10;16;17;20;22;26;30;31;42;53;64;75;86;97;108;119;129;139;149;159;169;179;189;199;205;206;207;217;227;237;247;257;267;277;287;297;950
2;3;6;9;15;16;19;21;25;29;30;41;52;63;74;85;96;107;118;128;138;148;158;168;178;188;198;204;205;206;216;226;236;246;256;266;276;286;296;949;950
2;1;3;3;6;1;3;2;4;4;1;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;6;1;1;10;10;10;10;10;10;10;10;10;653;1
X;X;X;X;9;X;9;X;X;X;X;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X;X;9;9;9;9;9;9;9;9;9;X;X
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;015;   ;0;L;500;A2;    ;    ; ;0;0;13516868;13516868;13516868;0;9736605;1297430;0;0;3476541;91366;17775;0;138141;47222;423; ;R;103537;0;0;3455213;90782;17775;0;136101;47418;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;019;   ;0;L;500;A2;    ;    ; ;0;0;112118;112118;112118;0;66562;51623;0;0;28840;760;152;0;951;1882;21; ;R;863;0;0;28784;760;152;0;943;1882;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;026;   ;0;L;500;A2;    ;    ; ;0;0;170057;170057;170057;0;127430;52187;0;0;43744;1147;226;0;1816;1902;19; ;R;1306;0;0;43624;1143;226;0;1796;1918;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
