TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47
CSDEP;CSDIR;CTCN;CTCNIA;NCCO;TYCNGR;CTCNGR;COARCL;CTADR0;NIAF;NIAFBT;MNBSCO;MOBSSY;MNBSGP;MNBSTS;MNBSGE;MNBSIF;MNBSCI;MNBSCM;MOCNCT;MOCNCS;MOCNCG;MOCNCE;MOCUGE;MORGIF;MNCHCI;MOCHCM;NBCHDF;CICUZ;BX001D;MCTP13;MOCNLT;MOCNLS;MOCNLG;MOCNLE;MOCULE;MORGLF;MNCHLI;MOCHLM;FILLER;BX001A
Code departement;Numero de direction sur 1c;CODE COMMUNE DE L'AFT;ancien code cne en presence d ifp;numero de compte fichier coll CFE;type EPCI;code EPCI;type article sur 2 caracteres;code voie du lieu d'imposition;NUMERO IMMEUBLE DE L'AFT;indice repetition b/t/q cfe type 1;base taxable commune n;base taxable syndicats;base taxable EPCI;base taxable tse n;base taxable tgemapi;base taxe annuelle ile de france;base taxable tcci;base taxable tcm;cotisation cfe commune;cotisation cfe syndicat;cotisation cfe epci;cotis. tse hors TGEMAPI et TASARIF;cotisation TGEMAPI;cotisation TASARIF;cotisation tcci;cotisation droit additionnel TCMA;nb cotisation tcma droit fixe;code EPCI avec zone (zae ou zde);ZONE BANALISEE 1 CARACTERE X;frais assiette commune et epci;cotisation cfe commune lissee;cotisation cfe syndicat lissee;cotisation cfe epci lissee;cot. tse hors TGEMAPI,TASARIF lissee;cotisation TGEMAPI lissee;cotisation TASARIF lissee;cotisation tcci lissee;cotis. droit additionnel TCMA lissee;;ZONE BANALISEE 1 CARACTERE X
1;3;4;7;10;16;17;20;22;26;30;31;42;53;64;75;86;97;108;119;129;139;149;159;169;179;189;199;205;206;207;217;227;237;247;257;267;277;287;297;950
2;3;6;9;15;16;19;21;25;29;30;41;52;63;74;85;96;107;118;128;138;148;158;168;178;188;198;204;205;206;216;226;236;246;256;266;276;286;296;949;950
2;1;3;3;6;1;3;2;4;4;1;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;6;1;1;10;10;10;10;10;10;10;10;10;653;1
X;X;X;X;9;X;9;X;X;X;X;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X;X;9;9;9;9;9;9;9;9;9;X;X
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;120;   ;0;L;500;A6;    ;    ; ;0;0;10413;10413;10413;0;10413;0;0;0;2678;70;14;0;148;0;0;Z; ;83;0;0;2734;70;14;0;156;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;090;   ;0;L;600;A6;    ;    ; ;0;0;11362;11362;11362;0;11362;0;0;0;2703;77;21;0;161;0;0;Z; ;75;0;0;2507;73;21;0;133;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;150;   ;0;L;600;A6;    ;    ; ;0;0;100150;100150;100150;0;56420;67695;0;0;24186;678;184;0;802;2464;1;Z; ;735;0;0;24526;686;184;0;838;2464;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;359;   ;0;L;600;A6;    ;    ; ;0;0;65168;65168;65168;0;46307;37723;0;0;15738;440;120;0;657;1373;3;Z; ;473;0;0;15778;440;120;0;661;1385;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
