TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47
CSDEP;CSDIR;CTCN;CTCNIA;NCCO;TYCNGR;CTCNGR;COARCL;CTADR0;NIAF;NIAFBT;MNBSCO;MOBSSY;MNBSGP;MNBSTS;MNBSGE;MNBSIF;MNBSCI;MNBSCM;MOCNCT;MOCNCS;MOCNCG;MOCNCE;MOCUGE;MORGIF;MNCHCI;MOCHCM;NBCHDF;CICUZ;BX001D;MCTP13;MOCNLT;MOCNLS;MOCNLG;MOCNLE;MOCULE;MORGLF;MNCHLI;MOCHLM;FILLER;BX001A
Code departement;Numero de direction sur 1c;CODE COMMUNE DE L'AFT;ancien code cne en presence d ifp;numero de compte fichier coll CFE;type EPCI;code EPCI;type article sur 2 caracteres;code voie du lieu d'imposition;NUMERO IMMEUBLE DE L'AFT;indice repetition b/t/q cfe type 1;base taxable commune n;base taxable syndicats;base taxable EPCI;base taxable tse n;base taxable tgemapi;base taxe annuelle ile de france;base taxable tcci;base taxable tcm;cotisation cfe commune;cotisation cfe syndicat;cotisation cfe epci;cotis. tse hors TGEMAPI et TASARIF;cotisation TGEMAPI;cotisation TASARIF;cotisation tcci;cotisation droit additionnel TCMA;nb cotisation tcma droit fixe;code EPCI avec zone (zae ou zde);ZONE BANALISEE 1 CARACTERE X;frais assiette commune et epci;cotisation cfe commune lissee;cotisation cfe syndicat lissee;cotisation cfe epci lissee;cot. tse hors TGEMAPI,TASARIF lissee;cotisation TGEMAPI lissee;cotisation TASARIF lissee;cotisation tcci lissee;cotis. droit additionnel TCMA lissee;;ZONE BANALISEE 1 CARACTERE X
16;0;166;   ;0;L;500;A4;    ;    ; ;0;0;2385729;2385729;2385729;0;1868379;370242;0;0;613616;16117;3127;0;26523;13478;89;H; ;18200;0;0;607164;15965;3127;0;26931;13482;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;168;   ;0;L;500;A4;    ;    ; ;0;0;22308;22308;22308;0;10782;7876;0;0;5741;148;33;0;153;289;7;H; ;165;0;0;5629;148;33;0;137;289;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;187;   ;0;L;500;A4;    ;    ; ;0;0;160617;160617;160617;0;95404;40071;0;0;41314;1087;215;0;1351;1460;16;H; ;1240;0;0;41450;1087;215;0;1363;1464;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;199;   ;0;L;500;A4;    ;    ; ;0;0;198492;198492;198492;0;90856;74189;0;0;51054;1340;264;0;1289;2699;27;H; ;1531;0;0;51274;1344;264;0;1289;2699;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;210;   ;0;L;500;A4;    ;    ; ;0;0;32794;32794;32794;0;18269;17407;0;0;8437;220;45;0;260;635;7;H; ;255;0;0;8569;224;45;0;260;635;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;232;   ;0;L;500;A4;    ;    ; ;0;0;605197;605197;605197;0;531631;98532;0;0;155658;4089;793;0;7546;3585;28;H; ;4730;0;0;157778;4133;793;0;7670;3905;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;236;   ;0;L;500;A4;    ;    ; ;0;0;393887;393887;393887;0;329377;43391;0;0;101312;2667;528;0;4677;1578;23;H; ;3020;0;0;101204;2667;528;0;4689;1550;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;244;   ;0;L;500;A4;    ;    ; ;0;0;1539816;1539816;1539816;0;1436614;104498;0;0;396039;10412;2015;0;20399;3801;28;H; ;11833;0;0;394563;10376;2015;0;20183;3857;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;263;   ;0;L;500;A4;    ;    ; ;0;0;14360;14360;14360;0;7323;0;0;0;3694;99;21;0;105;0;0;H; ;108;0;0;3694;99;21;0;105;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;271;   ;0;L;500;A4;    ;    ; ;0;0;489607;489607;489607;0;348664;113306;0;0;125930;3308;648;0;4949;4122;31;H; ;3727;0;0;124426;3268;648;0;4745;4154;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
